Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000273192,AL671710.1,0.0014670328690277823,0.3324034532591824,0.8076230084818532,0.0011507290620523564,-0.3324034532591824,0.8076230084818532
ENSG00000184164,CRELD2,0.31427104127617383,0.527983749692144,0.06752236667420537,0.217919316126165,-0.527983749692144,0.06752236667420537
ENSG00000278869,BX539320.1,0.0040750913028549515,-0.5454246767468724,0.3628704574325576,0.006041327575774871,0.5454246767468724,0.3628704574325576
ENSG00000198355,PIM3,0.31410803762405964,-0.6265269069740322,0.026686753865579213,0.4850322996550682,0.6265269069740322,0.0266867538655811
ENSG00000188263,IL17REL,0.00016300365211419803,1.1804003598141328,0.6109898784243833,0.0,-1.1804003598141328,0.6109898784243833
ENSG00000100427,MLC1,0.029666664684784044,0.5161911080832411,0.16273389076836742,0.020713123116942414,-0.5161911080832411,0.16273389076836742
ENSG00000073146,MOV10L1,0.00016300365211419803,-2.4045621409070232,0.026653310070025568,0.00158225246032199,2.4045621409070232,0.026653310070025568
ENSG00000280395,AL034546.1,0.00032600730422839607,0.18040035981413283,1.0,0.0002876822655130891,-0.18040035981413283,1.0
ENSG00000073150,PANX2,0.0009780219126851882,-3.566833569805901,3.420588486914774e-12,0.013377225346358643,3.566833569805901,3.420588486914774e-12
ENSG00000170638,TRABD,0.6554376851511904,0.006574781768739935,1.0,0.652463378183686,-0.006574781768739935,1.0
ENSG00000273188,AL022328.3,0.011736262952222258,0.5122439235665777,0.24914548660226046,0.00819894456712304,-0.5122439235665777,0.24914548660226046
ENSG00000273253,AL022328.4,0.02673259894672848,-0.2346371394647111,0.591602323851262,0.03150120807368326,0.2346371394647111,0.591602323851262
ENSG00000073169,SELENOO,0.07824175301481506,-1.0896156464307603,8.962990315926168e-05,0.16671187286483513,1.0896156464307603,8.962990315926168e-05
ENSG00000272836,AL022328.1,0.0019560438253703764,0.8808400779552255,0.34095277437812166,0.0010068879292958119,-0.8808400779552255,0.34095277437812166
ENSG00000273137,AL022328.2,0.0032600730422839607,0.5727177825928926,0.4453217024731353,0.0021576169913481683,-0.5727177825928926,0.4453217024731353
ENSG00000128159,TUBGCP6,0.09470512187834906,0.20036877604672831,0.6109898784243833,0.08242096906950003,-0.20036877604672831,0.6109898784243833
ENSG00000100429,HDAC10,0.18077105019464562,-0.39674263644772445,0.201332535324649,0.23805707471208123,0.39674263644772445,0.201332535324649
ENSG00000188130,MAPK12,0.0019560438253703764,0.5589119830678619,0.7789152321812308,0.0012945701948089009,-0.5589119830678619,0.7789152321812308
ENSG00000185386,MAPK11,0.010595237387422874,2.137331637922247,4.669352685632715e-06,0.0023014581241047128,-2.137331637922247,4.669352685632715e-06
ENSG00000196576,PLXNB2,0.025591573381929092,-4.769666376996168,2.3926031173549115e-56,0.7023762512502071,4.769666376996168,2.3926031173549115e-56
ENSG00000205593,DENND6B,0.033904759639753194,-2.4498624100974924,1.9326452572627368e-18,0.1859865846542121,2.4498624100974924,1.9326452572627368e-18
ENSG00000279182,CR559946.2,0.00032600730422839607,0.18040035981413283,1.0,0.0002876822655130891,-0.18040035981413283,1.0
ENSG00000100239,PPP6R2,0.2495585913868372,-0.028747555012824888,1.0,0.2545988049790839,0.028747555012824888,1.0
ENSG00000100241,SBF1,0.15306042933523195,0.4221062562074147,0.17196922023573508,0.11420985940869638,-0.4221062562074147,0.17196922023573508
ENSG00000128165,ADM2,0.005542124171882734,2.5023284547014937,6.4723565857643e-05,0.0008630467965392673,-2.5023284547014937,6.4723565857643e-05
ENSG00000100253,MIOX,0.0022820511295987725,0.9173659539803385,0.2902596375151104,0.0011507290620523564,-0.9173659539803385,0.2902596375151104
ENSG00000100258,LMF2,0.28656042041676016,0.32159941863386177,0.31771722486113047,0.22928276561393202,-0.32159941863386177,0.31771722486113047
ENSG00000025770,NCAPH2,0.09454211822623486,0.4173508768407501,0.1892932884409633,0.07076983731621993,-0.4173508768407501,0.1892932884409633
ENSG00000284194,SCO2,0.23586628460924458,-3.4877206459340453,5.004787830291529e-37,2.647539889516959,3.4877206459340453,5.004787830291529e-37
ENSG00000025708,TYMP,0.5978973959548785,-4.626280326904228,3.552540040648239e-58,14.770039034840265,4.626280326904228,3.552540040648239e-58
